"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2857","Create course","LMS system","2026-06-08","passed","2026-06-08","Courses","Courses","",""
"","1896","Check displaying of dashboard page","LMS system","2026-06-08","passed","2026-06-08","Dashboard","Dashboard","",""
"","1526","Navigation from login page to registration page","LMS system","2026-06-08","passed","2026-06-08","Authorization","Authentication","",""
"","3670","User login with correct email and password","LMS system","2026-06-08","passed","2026-06-08","Authorization","Authentication","",""
"","3442","Edit course","LMS system","2026-06-08","passed","2026-06-08","Courses","Courses","",""
"","2056","User login with wrong email or password","LMS system","2026-06-08","passed","2026-06-08","Authorization","Authentication","",""
"","1858","User login with wrong email or password","LMS system","2026-06-08","passed","2026-06-08","Authorization","Authentication","",""
"","1722","Check displaying of empty courses list","LMS system","2026-06-08","passed","2026-06-08","Courses","Courses","",""
"","1711","User login with wrong email or password","LMS system","2026-06-08","passed","2026-06-08","Authorization","Authentication","",""
"","2025","Registration with correct email, username and password","LMS system","2026-06-08","passed","2026-06-08","Registration","Authentication","",""
