"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","2026-05-28","passed","2026-05-28","TestUserInterface","test_markers","",""
"","2025","Registration with correct email, username and password","LMS system","2026-05-28","passed","2026-05-28","Registration","Authentication","",""
"","1","test_logout","tests.pytest","2026-05-28","passed","2026-05-28","TestUserAuthentication","test_markers","",""
"","1793","User login with wrong email or password","LMS system","2026-05-28","passed","2026-05-28","Authorization","Authentication","",""
"","1642","User login with wrong email or password","LMS system","2026-05-28","passed","2026-05-28","Authorization","Authentication","",""
"","1438","Navigation from login page to registration page","LMS system","2026-05-28","passed","2026-05-28","Authorization","Authentication","",""
"","3330","User login with correct email and password","LMS system","2026-05-28","passed","2026-05-28","Authorization","Authentication","",""
"","3208","Edit course","LMS system","2026-05-28","passed","2026-05-28","Courses","Courses","",""
"","1720","Check displaying of empty courses list","LMS system","2026-05-28","passed","2026-05-28","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-05-28","passed","2026-05-28","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-05-28","passed","2026-05-28","TestUserAuthentication","test_markers","",""
"","1738","Check displaying of dashboard page","LMS system","2026-05-28","passed","2026-05-28","Dashboard","Dashboard","",""
"","1891","User login with wrong email or password","LMS system","2026-05-28","passed","2026-05-28","Authorization","Authentication","",""
"","2799","Create course","LMS system","2026-05-28","passed","2026-05-28","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-05-28","passed","2026-05-28","","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-05-28","passed","2026-05-28","","test_markers","",""
